"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HVX2IP73","journalArticle","2020","Gatel, Laura; Lauvernet, Claire; Carluer, Nadia; Weill, Sylvain; Paniconi, Claudio","Sobol Global Sensitivity Analysis of a Coupled Surface/Subsurface Water Flow and Reactive Solute Transfer Model on a Real Hillslope","Water","","","10.3390/w12010121","https://www.mdpi.com/2073-4441/12/1/121","The migration and fate of pesticides in natural environments is highly complex. At the hillslope scale, the quantification of contaminant fluxes and concentrations requires a physically based model. This class of model has recently been extended to include coupling between the surface and the subsurface domains for both the water flow and solute transport regimes. Due to their novelty, the relative importance of and interactions between the main model parameters has not yet been fully investigated. In this study, a global Sobol sensitivity analysis is performed on a vineyard hillslope for a one hour intensive rain event with the CATHY (CATchment HYdrology) integrated surface/subsurface model. The event-based simulation involves runoff generation, infiltration, surface and subsurface solute transfers, and shallow groundwater flow. The results highlight the importance of the saturated hydraulic conductivity     K s     and the retention curve shape parameter n and they reveal a strong role for parameter interactions associated with the exchange processes represented in the model. The mass conservation errors generated by the model are lower than 1% in 99.7% of the simulations. Boostrapping analysis of sampling methods and errors associated with the Sobol indices highlights the relevance of choosing a large sampling size (at least N = 1000) and raises issues associated with rare but extreme output results.","2020-01","2021-10-16 11:56:30","2021-10-16 11:56:30","2021-10-16 11:56:30","121","","1","12","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 1 Publisher: Multidisciplinary Digital Publishing Institute","","/home/ben/Zotero/storage/APEJDVQG/Gatel et al. - 2020 - Sobol Global Sensitivity Analysis of a Coupled Sur.pdf; /home/ben/Zotero/storage/356GR7UG/121.html","","","CATHY model; global sensitivity analysis; hillslope scale; pesticides; reactive solute transfer; Sobol indices; surface/subsurface hydrology; uncertainty analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Y9FSWJW","journalArticle","2021","Bertoldi, Giacomo; Camporese, Matteo; Sulis, Mauro","Advances in Catchment Science through Integrated Hydrological Modelling and Monitoring","Water","","","10.3390/w13152013","https://www.mdpi.com/2073-4441/13/15/2013","Environmental research is rapidly evolving toward an integration of different disciplines, and this is also reflected in hydrology and the hydrological modelling community [...]","2021-01","2021-10-16 11:58:48","2021-10-16 11:58:48","2021-10-16 11:58:48","2013","","15","13","","","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 15 Publisher: Multidisciplinary Digital Publishing Institute","","/home/ben/Zotero/storage/PP8T859S/Bertoldi et al. - 2021 - Advances in Catchment Science through Integrated H.pdf; /home/ben/Zotero/storage/DFY5NXCN/htm.html","","","n/a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJL7VBE2","journalArticle","2017","Kollet, Stefan; Sulis, Mauro; Maxwell, Reed M.; Paniconi, Claudio; Putti, Mario; Bertoldi, Giacomo; Coon, Ethan T.; Cordano, Emanuele; Endrizzi, Stefano; Kikinzon, Evgeny; Mouche, Emmanuel; Mügler, Claude; Park, Young-Jin; Refsgaard, Jens C.; Stisen, Simon; Sudicky, Edward","The integrated hydrologic model intercomparison project, IH-MIP2: A second set of benchmark results to diagnose integrated hydrology and feedbacks","Water Resources Research","","1944-7973","10.1002/2016WR019191","https://onlinelibrary.wiley.com/doi/abs/10.1002/2016WR019191","Emphasizing the physical intricacies of integrated hydrology and feedbacks in simulating connected, variably saturated groundwater-surface water systems, the Integrated Hydrologic Model Intercomparison Project initiated a second phase (IH-MIP2), increasing the complexity of the benchmarks of the first phase. The models that took part in the intercomparison were ATS, Cast3M, CATHY, GEOtop, HydroGeoSphere, MIKE-SHE, and ParFlow. IH-MIP2 benchmarks included a tilted v-catchment with 3-D subsurface; a superslab case expanding the slab case of the first phase with an additional horizontal subsurface heterogeneity; and the Borden field rainfall-runoff experiment. The analyses encompassed time series of saturated, unsaturated, and ponded storages, as well as discharge. Vertical cross sections and profiles were also inspected in the superslab and Borden benchmarks. An analysis of agreement was performed including systematic and unsystematic deviations between the different models. Results show generally good agreement between the different models, which lends confidence in the fundamental physical and numerical implementation of the governing equations in the different models. Differences can be attributed to the varying level of detail in the mathematical and numerical representation or in the parameterization of physical processes, in particular with regard to ponded storage and friction slope in the calculation of overland flow. These differences may become important for specific applications such as detailed inundation modeling or when strong inhomogeneities are present in the simulation domain.","2017","2021-10-16 12:00:22","2021-10-16 12:00:22","2021-10-16 12:00:22","867-890","","1","53","","","The integrated hydrologic model intercomparison project, IH-MIP2","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR019191","","/home/ben/Zotero/storage/3ZGV473V/Kollet et al. - 2017 - The integrated hydrologic model intercomparison pr.pdf; /home/ben/Zotero/storage/38AML86X/2016WR019191.html","","","benchmarks; integrated models; intercomparison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LX7VR4K2","journalArticle","2014","Maxwell, Reed M.; Putti, Mario; Meyerhoff, Steven; Delfs, Jens-Olaf; Ferguson, Ian M.; Ivanov, Valeriy; Kim, Jongho; Kolditz, Olaf; Kollet, Stefan J.; Kumar, Mukesh; Lopez, Sonya; Niu, Jie; Paniconi, Claudio; Park, Young-Jin; Phanikumar, Mantha S.; Shen, Chaopeng; Sudicky, Edward A.; Sulis, Mauro","Surface-subsurface model intercomparison: A first set of benchmark results to diagnose integrated hydrology and feedbacks","Water Resources Research","","1944-7973","10.1002/2013WR013725","https://onlinelibrary.wiley.com/doi/abs/10.1002/2013WR013725","There are a growing number of large-scale, complex hydrologic models that are capable of simulating integrated surface and subsurface flow. Many are coupled to land-surface energy balance models, biogeochemical and ecological process models, and atmospheric models. Although they are being increasingly applied for hydrologic prediction and environmental understanding, very little formal verification and/or benchmarking of these models has been performed. Here we present the results of an intercomparison study of seven coupled surface-subsurface models based on a series of benchmark problems. All the models simultaneously solve adapted forms of the Richards and shallow water equations, based on fully 3-D or mixed (1-D vadose zone and 2-D groundwater) formulations for subsurface flow and 1-D (rill flow) or 2-D (sheet flow) conceptualizations for surface routing. A range of approaches is used for the solution of the coupled equations, including global implicit, sequential iterative, and asynchronous linking, and various strategies are used to enforce flux and pressure continuity at the surface-subsurface interface. The simulation results show good agreement for the simpler test cases, while the more complicated test cases bring out some of the differences in physical process representations and numerical solution approaches between the models. Benchmarks with more traditional runoff generating mechanisms, such as excess infiltration and saturation, demonstrate more agreement between models, while benchmarks with heterogeneity and complex water table dynamics highlight differences in model formulation. In general, all the models demonstrate the same qualitative behavior, thus building confidence in their use for hydrologic applications.","2014","2021-10-16 12:03:19","2021-10-16 12:03:19","2021-10-16 12:03:19","1531-1549","","2","50","","","Surface-subsurface model intercomparison","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/2013WR013725","","/home/ben/Zotero/storage/876PKXX8/Maxwell et al. - 2014 - Surface-subsurface model intercomparison A first .pdf; /home/ben/Zotero/storage/7Z7GRVB7/2013WR013725.html","","","intercomparison; model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFXWTAAB","journalArticle","2014","Niu, Guo-Yue; Paniconi, Claudio; Troch, Peter A.; Scott, Russell L.; Durcik, Matej; Zeng, Xubin; Huxman, Travis; Goodrich, David C.","An integrated modelling framework of catchment-scale ecohydrological processes: 1. Model description and tests over an energy-limited watershed","Ecohydrology","","1936-0592","10.1002/eco.1362","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1362","The interactions between atmospheric, hydrological, and ecological processes at various spatial and temporal scales are not fully represented in most ecohydrological models. This first of a two-part paper documents a fully integrated catchment-scale ecohydrological model consisting of a three-dimensional physically based hydrological model and a land surface model. This first part also presents a first application to test the model over an energy-limited catchment (8.4 km2) of the Sleepers River watershed in Vermont. The physically based hydrological model (CATchment HYdrology, CATHY) describes three-dimensional subsurface flow in variably saturated porous media and surface routing on hillslopes and in stream channels, whereas the land surface model (LSM), an augmented version of Noah LSM with multiple parameterization schemes (NoahMP), accounts for energy, water, and carbon flux exchanges between various land surface elements and the atmosphere. CATHY and NoahMP are coupled through exchanges of water fluxes and states. In the energy-limited catchment of the Sleepers River watershed, where snowmelt runoff generation is the dominant hydrologic flux, the coupled CATHY/NoahMP model at both 90 and 30-m surface grid resolutions, with minimal calibration, performs well in simulating the observed snow accumulation, and melt and subsequent snowmelt discharge. The Nash–Sutcliffe model efficiency of daily discharge is above 0.82 for both resolutions. The simulation at 90-m resolution shows a marginal improvement over that at 30-m resolution because of more elaborate calibration of model parameters. The coupled CATHY/NoahMP also shows a capability of simulating surface-inundated area and distributed surface water height, although the accuracy of these simulations needs further evaluation. The CATHY/NoahMP model is thus also a potentially useful research tool for predicting flash flood and lake dynamics under climatic change. Copyright © 2013 John Wiley & Sons, Ltd.","2014","2021-10-16 12:05:26","2021-10-16 12:05:26","2021-10-16 12:05:26","427-439","","2","7","","","An integrated modelling framework of catchment-scale ecohydrological processes","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/eco.1362","","/home/ben/Zotero/storage/2R4335PX/eco.html","","","land surface model; coupling; ecohydrological model; physically-based hydrological model; snowmelt runoff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSCBECR2","journalArticle","2014","Niu, Guo-Yue; Troch, Peter A.; Paniconi, Claudio; Scott, Russell L.; Durcik, Matej; Zeng, Xubin; Huxman, Travis; Goodrich, David; Pelletier, Jon","An integrated modelling framework of catchment-scale ecohydrological processes: 2. The role of water subsidy by overland flow on vegetation dynamics in a semi-arid catchment","Ecohydrology","","1936-0592","10.1002/eco.1405","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1405","In water-limited regions, surface water and carbon fluxes are strongly controlled by soil water availability, which may be highly variable at very small spatial scales (e.g. metres) because of variations in terrain, soils, and vegetation conditions and to processes of water redistribution along hillslopes. This second of a two-part paper first evaluates the performance of a newly developed ecohydrological model over a small semi-arid experimental catchment (7·92 ha) in southeastern Arizona. Secondly, it investigates the effects of soil properties on water subsidy resulting from lateral overland flow re-infiltration and on overall ecohydrological response. With optimized parameters, the model shows a higher ability to simulate surface energy and water fluxes than CO2 fluxes at all temporal scales. The model simulates observed CO2 fluxes fairly well at diurnal scales during the main growing seasons and the interannual variability of these fluxes in response to soil moisture variations from drought years to wet years. However, the model reproduces less well carbon assimilation in spring and positive CO2 flux pulses following early monsoon rain events, suggesting a need for further development of the model's representations of multiple plant species and soil carbon decomposition. The model simulates soil moisture at 5 cm much better than at 15 cm mainly because of heterogeneous soil properties. Through five numerical experiments with varying saturated hydraulic conductivity values, it is revealed that the discharge at the outlet of this semi-arid catchment is essentially attributed to lateral overland flow that is generated mainly by infiltration-excess runoff. Subsurface flow plays a minor role in this semi-arid catchment with a very deep groundwater table (>100 m). The model produces wetter soils in lowland areas along stream rills and channels through re-infiltration of lateral overland flow. This water subsidy provides plants with favourable conditions to produce more leaves, CO2, and ET fluxes in lowland areas. Re-infiltration of overland flow over complex terrain may play a role in buffering climatic impacts in a warming climate with fewer but more intense rainfall events in the Southwestern United States. Copyright © 2013 John Wiley & Sons, Ltd.","2014","2021-10-16 12:05:31","2021-10-16 12:05:31","2021-10-16 12:05:31","815-827","","2","7","","","An integrated modelling framework of catchment-scale ecohydrological processes","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/eco.1405","","/home/ben/Zotero/storage/LQ5Q8IBQ/eco.html","","","overland flow; re-infiltration; semi-arid catchment; vegetation dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9AZYAZQ","journalArticle","2015","Bonetti, Sara; Manoli, Gabriele; Domec, Jean-Christophe; Putti, Mario; Marani, Marco; Katul, Gabriel G.","The influence of water table depth and the free atmospheric state on convective rainfall predisposition","Water Resources Research","","1944-7973","10.1002/2014WR016431","https://onlinelibrary.wiley.com/doi/abs/10.1002/2014WR016431","A mechanistic model for the soil-plant system is coupled to a conventional slab representation of the atmospheric boundary layer (ABL) to explore the role of groundwater table (WT) variations and free atmospheric (FA) states on convective rainfall predisposition (CRP) at a Loblolly pine plantation site situated in the lower coastal plain of North Carolina. Predisposition is quantified using the crossing between modeled lifting condensation level (LCL) and convectively grown ABL depth. The LCL-ABL depth crossing is necessary for air saturation but not sufficient for cloud formation and subsequent convective rainfall occurrence. However, such crossing forms the main template for which all subsequent dynamical processes regulating the formation (or suppression) of convective rainfall operate on. If the feedback between surface fluxes and FA conditions is neglected, a reduction in latent heat flux associated with reduced WT levels is shown to enhance the ABL-LCL crossing probability. When the soil-plant system is fully coupled with ABL dynamics thereby allowing feedback with ABL temperature and humidity, FA states remain the leading control on CRP. However, vegetation water stress plays a role in controlling ABL-LCL crossing when the humidity supply by the FA is within an intermediate range of values. When FA humidity supply is low, cloud formation is suppressed independent of surface latent heat flux. Similarly, when FA moisture supply is high, cloud formation can occur independent of surface latent heat flux. In an intermediate regime of FA moisture supply, the surface latent heat flux controlled by soil water availability can supplement (or suppress) the necessary water vapor leading to reduced LCL and subsequent ABL-LCL crossing. It is shown that this intermediate state corresponds to FA values around the mode in observed humidity lapse rates γw (between −2.5 × 10−6 and −1.5 × 10−6 kg kg−1m−1), suggesting that vegetation water uptake may be controlling CRP at the study site.","2015","2021-10-16 12:05:35","2021-10-16 12:05:35","2021-10-16 12:05:35","2283-2297","","4","51","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/2014WR016431","","/home/ben/Zotero/storage/IMY4GPY5/Bonetti et al. - 2015 - The influence of water table depth and the free at.pdf; /home/ben/Zotero/storage/DNVB3MHR/2014WR016431.html","","","groundwater; CATHY; convection; optimization theory; rainfall; transpiration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHDXRU8K","journalArticle","2015","Manoli, Gabriele; Rossi, Matteo; Pasetto, Damiano; Deiana, Rita; Ferraris, Stefano; Cassiani, Giorgio; Putti, Mario","An iterative particle filter approach for coupled hydro-geophysical inversion of a controlled infiltration experiment","Journal of Computational Physics","","0021-9991","10.1016/j.jcp.2014.11.035","https://www.sciencedirect.com/science/article/pii/S0021999114007979","The modeling of unsaturated groundwater flow is affected by a high degree of uncertainty related to both measurement and model errors. Geophysical methods such as Electrical Resistivity Tomography (ERT) can provide useful indirect information on the hydrological processes occurring in the vadose zone. In this paper, we propose and test an iterated particle filter method to solve the coupled hydrogeophysical inverse problem. We focus on an infiltration test monitored by time-lapse ERT and modeled using Richards equation. The goal is to identify hydrological model parameters from ERT electrical potential measurements. Traditional uncoupled inversion relies on the solution of two sequential inverse problems, the first one applied to the ERT measurements, the second one to Richards equation. This approach does not ensure an accurate quantitative description of the physical state, typically violating mass balance. To avoid one of these two inversions and incorporate in the process more physical simulation constraints, we cast the problem within the framework of a SIR (Sequential Importance Resampling) data assimilation approach that uses a Richards equation solver to model the hydrological dynamics and a forward ERT simulator combined with Archie's law to serve as measurement model. ERT observations are then used to update the state of the system as well as to estimate the model parameters and their posterior distribution. The limitations of the traditional sequential Bayesian approach are investigated and an innovative iterative approach is proposed to estimate the model parameters with high accuracy. The numerical properties of the developed algorithm are verified on both homogeneous and heterogeneous synthetic test cases based on a real-world field experiment.","2015-02-15","2021-10-16 12:05:41","2021-10-16 12:05:41","2021-10-16 12:05:41","37-51","","","283","","Journal of Computational Physics","","","","","","","","en","","","","","ScienceDirect","","","","/home/ben/Zotero/storage/AUJADKKP/Manoli et al. - 2015 - An iterative particle filter approach for coupled .pdf","","","Coupled hydro-geophysical inversion; Data assimilation; Electrical Resistivity Tomography; Particle filter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB26Z2PQ","journalArticle","2014","Manoli, Gabriele; Bonetti, Sara; Domec, Jean-Christophe; Putti, Mario; Katul, Gabriel; Marani, Marco","Tree root systems competing for soil moisture in a 3D soil–plant model","Advances in Water Resources","","0309-1708","10.1016/j.advwatres.2014.01.006","https://www.sciencedirect.com/science/article/pii/S030917081400013X","Competition for water among multiple tree rooting systems is investigated using a soil–plant model that accounts for soil moisture dynamics and root water uptake (RWU), whole plant transpiration, and leaf-level photosynthesis. The model is based on a numerical solution to the 3D Richards equation modified to account for a 3D RWU, trunk xylem, and stomatal conductances. The stomatal conductance is determined by combining a conventional biochemical demand formulation for photosynthesis with an optimization hypothesis that selects stomatal aperture so as to maximize carbon gain for a given water loss. Model results compare well with measurements of soil moisture throughout the rooting zone, of total sap flow in the trunk xylem, as well as of leaf water potential collected in a Loblolly pine forest. The model is then used to diagnose plant responses to water stress in the presence of competing rooting systems. Unsurprisingly, the overlap between rooting zones is shown to enhance soil drying. However, the 3D spatial model yielded transpiration-bulk root-zone soil moisture relations that do not deviate appreciably from their proto-typical form commonly assumed in lumped eco-hydrological models. The increased overlap among rooting systems primarily alters the timing at which the point of incipient soil moisture stress is reached by the entire soil–plant system.","2014-04-01","2021-10-16 12:05:46","2021-10-16 12:05:46","2021-10-16 12:05:46","32-42","","","66","","Advances in Water Resources","","","","","","","","en","","","","","ScienceDirect","","","","","","","Ecohydrology; Numerical modeling; Optimal leaf conductance; Photosynthesis; Root water uptake; Trees competition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43CYSKIV","journalArticle","2015","Rossi, Matteo; Manoli, Gabriele; Pasetto, Damiano; Deiana, Rita; Ferraris, Stefano; Strobbia, Claudio; Putti, Mario; Cassiani, Giorgio","Coupled inverse modeling of a controlled irrigation experiment using multiple hydro-geophysical data","Advances in Water Resources","","0309-1708","10.1016/j.advwatres.2015.03.008","https://www.sciencedirect.com/science/article/pii/S0309170815000639","Geophysical surveys can provide useful, albeit indirect, information on vadose zone processes. However, the ability to provide a quantitative description of the subsurface hydrological phenomena requires to fully integrate geophysical data into hydrological modeling. Here, we describe a controlled infiltration experiment that was monitored using both electrical resistivity tomography (ERT) and ground-penetrating radar (GPR). The experimental site has a simple, well-characterized subsoil structure: the vadose zone is composed of aeolic sand with largely homogeneous and isotropic properties. In order to estimate the unknown soil hydraulic conductivity, we apply a data assimilation technique based on a sequential importance resampling (SIR) approach. The SIR approach allows a simple assimilation of either or both geophysical datasets taking into account the associated measurement uncertainties. We demonstrate that, compared to a simpler, uncoupled hydro-geophysical approach, the coupled data assimilation process provides a more reliable parameter estimation and better reproduces the evolution of the infiltrating water plume. The coupled procedure is indeed much superior to the uncoupled approach that suffers from the artifacts of the geophysical inversion step and produces severe mass balance errors. The combined assimilation of GPR and ERT data is then investigated, highlighting strengths and weaknesses of the two datasets. In the case at hand GPR energy propagates in form of a guided wave that, over time, shows different energy distribution between propagation modes as a consequence of the evolving thickness of the wet layer. We found that the GPR inversion procedure may produce estimates on the depth of the infiltrating front that are not as informative as the ERT dataset.","2015-08-01","2021-10-16 12:05:50","2021-10-16 12:05:50","2021-10-16 12:05:50","150-165","","","82","","Advances in Water Resources","","","","","","","","en","","","","","ScienceDirect","","","","/home/ben/Zotero/storage/3GGMV32T/Rossi et al. - 2015 - Coupled inverse modeling of a controlled irrigatio.pdf","","","Electrical resistivity tomography; Ground-penetrating radar; Hydro-geophysical inversion; Infiltration; Vadose zone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
