x,z,y,buried
0.05,0.485,-0.005,0
0.1,0.485,-0.005,0
0.15,0.485,-0.005,0
0.2,0.485,-0.005,0
0.25,0.485,-0.005,0
0.3,0.485,-0.005,0
0.35,0.485,-0.005,0
0.4,0.485,-0.005,0
0.05,0.425,0,1
0.1,0.425,0,1
0.15,0.425,0,1
0.2,0.425,0,1
0.25,0.425,0,1
0.3,0.425,0,1
0.35,0.425,0,1
0.4,0.425,0,1
0.05,0.375,0,1
0.1,0.375,0,1
0.15,0.375,0,1
0.2,0.375,0,1
0.25,0.375,0,1
0.3,0.375,0,1
0.35,0.375,0,1
0.4,0.375,0,1
0.05,0.325,0,1
0.1,0.325,0,1
0.15,0.325,0,1
0.2,0.325,0,1
0.25,0.325,0,1
0.3,0.325,0,1
0.35,0.325,0,1
0.4,0.325,0,1
0.05,0.275,0,1
0.1,0.275,0,1
0.15,0.275,0,1
0.2,0.275,0,1
0.25,0.275,0,1
0.3,0.275,0,1
0.35,0.275,0,1
0.4,0.275,0,1
0.05,0.225,0,1
0.1,0.225,0,1
0.15,0.225,0,1
0.2,0.225,0,1
0.25,0.225,0,1
0.3,0.225,0,1
0.35,0.225,0,1
0.4,0.225,0,1
0.05,0.175,0,1
0.1,0.175,0,1
0.15,0.175,0,1
0.2,0.175,0,1
0.25,0.175,0,1
0.3,0.175,0,1
0.35,0.175,0,1
0.4,0.175,0,1
0.05,0.125,0,1
0.1,0.125,0,1
0.15,0.125,0,1
0.2,0.125,0,1
0.25,0.125,0,1
0.3,0.125,0,1
0.35,0.125,0,1
0.4,0.125,0,1
0.05,0.075,0,1
0.1,0.075,0,1
0.15,0.075,0,1
0.2,0.075,0,1
0.25,0.075,0,1
0.3,0.075,0,1
0.35,0.075,0,1
0.4,0.075,0,1
